Keywords,city,store_number,Agg store_number,address,state,zip_code
Target,Saint Petersburg,1023,1023 000001023 00001023,4450 Park St N,FL,33709-4020
Target,Lombard,1024,1024 000001024 00001024,60 Yorktown Shopping Ctr,IL,60148-5529
Target,Elk Grove,1025,1025 000001025 00001025,7505 Laguna Blvd,CA,95758-5061
Target,Napa,1026,1026 000001026 00001026,205 Soscol Ave,CA,94559-4007
Target,Camarillo,1027,1027 000001027 00001027,209 W Ventura Blvd,CA,93010-8359
Target,West Covina,1028,1028 000001028 00001028,2831 E Eastland Ctr Dr,CA,91791-1624
Target,Encinitas,1029,1029 000001029 00001029,1010 N El Camino Real,CA,92024-1320
Target,Memphis,1030,1030 000001030 00001030,7989 US Highway 64,TN,38133-4007
Target,Springfield,1031,1031 000001031 00001031,1825 E Primrose St,MO,65804-6497
Target,Irving,1032,1032 000001032 00001032,7845 N Macarthur Blvd,TX,75063-7516
Target,Baldwin Park,1033,1033 000001033 00001033,3100 Baldwin Park Blvd,CA,91706-4703
Target,Santa Fe,1034,1034 000001034 00001034,3550 Zafarano Dr,NM,87507-2606
Target,Saint Peters,1035,1035 000001035 00001035,6241 Mid Rivers Mall Dr,MO,63304-1102
Target,Lake Zurich,1036,1036 000001036 00001036,555 S Rand Rd,IL,60047-2356
Target,Springdale,1037,1037 000001037 00001037,900 E Kemper Rd,OH,45246-2518
Target,North Miami Beach,1038,1038 000001038 00001038,14075 Biscayne Blvd,FL,33181-1629
Target,Miami,1039,1039 000001039 00001039,8350 S Dixie Hwy,FL,33143-7714
Target,Vista,1040,1040 000001040 00001040,1751 University Dr,CA,92083-7775
Target,Ellicott City,1042,1042 000001042 00001042,4390 Montgomery Rd,MD,21043-6068
Target,Aberdeen,1043,1043 000001043 00001043,1025 Middleton Rd,MD,21001-2263
Target,Columbia,1044,1044 000001044 00001044,6111 Dobbin Rd,MD,21045-5802
Target,Owings Mills,1045,1045 000001045 00001045,11200 Reisterstown Rd,MD,21117-1903
Target,Germantown,1046,1046 000001046 00001046,20908 Frederick Rd,MD,20876-4134
Target,Virginia Beach,1047,1047 000001047 00001047,525 First Colonial Rd,VA,23451-6119
Target,Norfolk,1048,1048 000001048 00001048,1245 N Military Hwy,VA,23502-2228
Target,Glen Allen,1049,1049 000001049 00001049,11290 W Broad St,VA,23060-5815
Target,Vero Beach,1050,1050 000001050 00001050,5800 20th St,FL,32966-1017
Target,Tampa,1051,1051 000001051 00001051,3625 W Gandy Blvd,FL,33611-2607
Target,Wyoming,1052,1052 000001052 00001052,5455 Clyde Park Ave SW,MI,49509-9722
Target,Merritt Island,1053,1053 000001053 00001053,250 Crockett Blvd,FL,32953-4395
Target,San Bruno,1054,1054 000001054 00001054,1150 El Camino Real,CA,94066-2420
Target,Edison,1055,1055 000001055 00001055,100 Parsonage Rd,NJ,08837-2424
Target,Vestal,1056,1056 000001056 00001056,3112 Vestal Pkwy E,NY,13850-2038
Target,Orchard Park,1057,1057 000001057 00001057,5622 Amanda Ln,NY,14127-1555
Target,Columbus,1058,1058 000001058 00001058,1717 Olentangy River Rd,OH,43212-1452
