Keywords,city,store_number,store_number,address,state,zip_code
Publix,Stone Mountain,494,494 #0494 #494,380 N Deshon Rd,GA,30087-4797
Publix,Lawrenceville,495,495 #0495 #495,911 Duluth Hwy,GA,30043-5320
Publix,Powder Springs,496,496 #0496 #496,5100 Dallas Hwy,GA,30127-4491
Publix,Palm Harbor,497,497 #0497 #497,36301 E Lake Rd,FL,34685-3200
Publix,Melbourne Beach,499,499 #0499 #499,3830 S Highway A1A,FL,32951-3143
Publix,Key West,500,500 #0500 #500,3316 N Roosevelt Blvd,FL,33040-4115
Publix,Apopka,501,501 #0501 #501,1545 Rock Springs Rd,FL,32712-2231
Publix,Fleming Island,502,502 #0502 #502,5000 US Highway 17 Ste 11,FL,32003-8223
Publix,Atlanta,503,503 #0503 #503,3695 Cascade Rd SW,GA,30331-2173
Publix,Holiday,504,504 #0504 #504,4701 Sunray Dr,FL,34690-3808
Publix,Duluth,505,505 #0505 #505,1625 Pleasant Hill Rd Ste 200,GA,30096-5863
Publix,Aiken,506,506 #0506 #506,250 Eastgate Dr,SC,29803-7698
Publix,Eustis,507,507 #0507 #507,1950 N Highway 19,FL,32726-6729
Publix,Snellville,508,508 #0508 #508,1905 Scenic Hwy N Ste 4000,GA,30078-5635
Publix,Sunrise,509,509 #0509 #509,12500 W Sunrise Blvd,FL,33323-2987
Publix,Homestead,510,510 #0510 #510,891 N Homestead Blvd,FL,33030-5024
Publix,Tampa,511,511 #0511 #511,6001 N Nebraska Ave,FL,33604-6855
Publix,Lexington,512,512 #0512 #512,100 Old Cherokee Rd,SC,29072-9316
Publix,Sandy Springs,514,514 #0514 #514,8725 Roswell Rd Ste G,GA,30350-7500
Publix,Johns Creek,515,515 #0515 #515,11585 Jones Bridge Rd Ste 500,GA,30022-8173
Publix,Naples,516,516 #0516 #516,12663 Tamiami Trl E,FL,34113-8423
Publix,Homosassa,518,518 #0518 #518,3942 S Suncoast Blvd,FL,34448-2601
