row_id|at_merchantid|at_transactioncity|at_transactionstateprovince|at_transactionpostalcode1|at_transactionpostalcode2|at_transactioncountrycode|at_transactiondescription|at_transactiondescription2|at_mcccode
14820||||||||PENNYMAC         |
14851||||||||ard ending in 2632|
14883||||||||UNITED HEALTHCAR EDI PAYMTS|
14888||||||||CARDMEMBER SERV  |
14905||||||||AMERICAN EXPRESS      |
14927||||||||CAPITAL ONE      |
14943||||||||CARDWORKS ACQ    |
14964||||||||MORTGAGE PAYMENT |
14974||||||||ard ending in 5405|
14994||||||||043267 AIMCO 182 |
15011||||||||Entergy Services |
15021|||||||| MMA ...7711 transaction#: 4|
15040|||||||| MMA ...9812 transaction#: 4|
15049||||||||JPMORGAN CHASE   |
15074||||||||Fleet One        |
15089||||||||BANK OF AMERICA       |
15099||||||||ard ending in 4904|
15125||||||||Ocwen Loan Servi |
15172||||||||ADP TX/FINCL SVC |
15173||||||||PSN*SILK FACTORY |
15179||||||||IRS              |
15232||||||||ard ending in 2968|
15246||||||||Ocwen Loan Servi |
15274||||||||SMG PUERTO RICO       |
15323||||||||CHASE            |
15334||||||||JPMORGAN CHASE   |
15410||||||||ADP TX/FINCL SVC |
15411||||||||Bank of America  |
15437||||||||WF HOME MTG      |
15488||||||||NYS TAX & FINANC |
15501||||||||CITI CARD ONLINE |
15602||||||||PAYCHEX                |
15607||||||||LEASE ADMIN CNTR |
15609||||||||JACOBS PROJECT M      |
15636||||||||WESTERN UNION         |
15653||||||||JPMORGAN CHASE   |
15666||||||||1ST NATL BK OMAH |
15679||||||||American Express |
15685||||||||WF HOME MTG      |
15797||||||||ADP PAYROLL FEES      |
15798||||||||Gap Visa         |
15820||||||||COUNTY OF KERN   |
15844||||||||WF HOME MTG      |
15868||||||||BK OF AMER VI/MC |
15871||||||||CHASE            |
15878||||||||USPTO                 |
15926||||||||CAPITAL ONE      |
15970||||||||US BANK HOME MTG |
15973||||||||WF HOME MTG      |
15984||||||||NORTHWESTERN MU  |
15988||||||||SELECT PORTFOLIO |
16017||||||||JPMORGAN CHASE   |
16094||||||||PAYCHEX TPS      |
16112||||||||JPMORGAN CHASE   |
16164||||||||TOWN OF ISLIP    |
16181||||||||Dept. of Revenue |
16222||||||||Northbridge      |
16286||||||||JPMORGAN CHASE   |
16384||||||||AFC FUNDING CORP |
16392||||||||ard ending in 7195|
16432||||||||FAY SERVICING    |
16448||||||||American Express |
16504||||||||COLUMBIA GAS KY  |
16507||||||||BK OF AM CRD ACH |
