Accuracy,Class,True Positive,False Positive,False Negative,True Negative,Precision,Recall,Specificity,F Measure
,Westin Hotels & Resorts,992,2,0,1004285,0.9979879275653923,1.0,0.9999980085374002,0.9989929506545822
,Wet Seal,1041,0,0,1004238,1.0,1.0,1.0,1.0
,Whataburger,1012,0,0,1004267,1.0,1.0,1.0,1.0
,Which Wich,1011,2,0,1004266,0.998025666337611,1.0,0.9999980084997232,0.9990118577075099
,White Castle,998,4,0,1004277,0.9960079840319361,1.0,0.9999960170510046,0.9980000000000001
,White House Black Market,985,2,0,1004292,0.9979736575481256,1.0,0.9999980085512808,0.9989858012170385
,Whole Foods,1182,2,0,1004095,0.9983108108108109,1.0,0.9999980081605662,0.9991546914623838
,Wichcraft,988,3,0,1004288,0.9969727547931383,1.0,0.999997012817998,0.9984840828701365
,Wienerschnitzel,1009,2,0,1004268,0.9980217606330366,1.0,0.9999980085036893,0.999009900990099
,Williams-Sonoma,1050,1,1,1004227,0.9990485252140818,0.9990485252140818,0.9999990042101993,0.9990485252140818
,WinCo Foods,201,0,0,1005078,1.0,1.0,1.0,1.0
,Wingstop,1031,1,1,1004246,0.999031007751938,0.999031007751938,0.9999990042290393,0.999031007751938
,Winn-Dixie,1033,17,0,1004229,0.9838095238095238,1.0,0.999983071876811,0.9918386941910706
,Wolfgang Puck,961,2,0,1004316,0.9979231568016614,1.0,0.9999980085988701,0.9989604989604989
,World Vision,1007,0,0,1004272,1.0,1.0,1.0,1.0
,Xbox,1049,0,1,1004229,1.0,0.9990476190476191,1.0,0.9995235826584088
,XSport Fitness,987,1,0,1004291,0.9989878542510121,1.0,0.9999990042736575,0.9994936708860759
,Yankee Candle,996,0,0,1004283,1.0,1.0,1.0,1.0
,Yard House,985,0,0,1004294,1.0,1.0,1.0,1.0
,Yellow Cab Company,922,35,0,1004322,0.9634273772204807,1.0,0.9999651518334616,0.981373070782331
,YMCA,1060,5,0,1004214,0.9953051643192489,1.0,0.9999950210063742,0.9976470588235293
,Yogurt Land,986,1,0,1004292,0.9989868287740629,1.0,0.9999990042746489,0.9994931576279777
,Zappos,1052,0,0,1004227,1.0,1.0,1.0,1.0
,Zara,985,13,0,1004281,0.9869739478957916,1.0,0.9999870555833252,0.9934442763489663
,Zaxby's,1005,8,0,1004266,0.9921026653504442,1.0,0.9999920340464853,0.9960356788899901
,Zazzle,1003,0,0,1004276,1.0,1.0,1.0,1.0
,Zipcar,962,0,0,1004317,1.0,1.0,1.0,1.0
,Zoes Kitchen,1029,34,0,1004216,0.9680150517403575,1.0,0.9999661438884739,0.9837476099426385
,Zulily,1031,3,0,1004245,0.9970986460348162,1.0,0.9999970126900924,0.998547215496368
,Zumiez,1035,0,0,1004244,1.0,1.0,1.0,1.0
,Wells Fargo,894,7,11,1004367,0.9922308546059934,0.9878453038674033,0.9999930304846602,0.9900332225913623
